"bwght","mage","meduc","fage","feduc"
2910,24,12,26,12
3540,25,12,31,12
3912,24,16,25,13
3430,35,12,38,12
3370,27,16,28,16
2770,25,12,46,17
3370,26,12,38,14
3175,28,14,30,14
3887,25,12,33,12
4111,36,16,42,16
2980,30,12,37,12
2450,27,16,30,16
3810,37,16,36,17
3635,21,12,31,12
3860,29,12,36,12
3650,33,12,30,13
2631,30,14,25,14
3535,29,12,35,12
3090,37,16,38,14
3460,28,16,28,16
4180,32,12,38,12
3459,27,16,28,16
3650,29,16,33,12
3790,29,12,31,16
3572,34,12,34,12
2877,21,12,27,12
3720,37,12,39,14
3410,32,17,30,17
3540,31,16,33,16
2790,36,14,31,16
3775,35,16,32,16
3295,29,13,36,12
3310,39,16,40,16
3870,26,17,30,17
4706,29,17,28,16
3147,26,16,27,17
4460,26,12,31,12
3799,29,16,31,14
3090,19,10,24,12
3545,29,12,37,16
3365,32,12,43,16
3771,27,12,30,16
2778,29,12,33,12
3230,24,14,23,12
3770,35,16,32,16
3265,39,12,49,17
4140,27,10,32,12
2555,32,10,22,14
3940,26,12,30,12
4060,27,12,32,12
3810,32,16,38,16
3430,25,12,23,12
3490,30,12,35,12
2835,27,14,27,12
3232,28,8,32,12
3799,36,17,36,17
3630,30,13,30,16
3180,28,16,29,16
2970,33,12,32,16
3885,26,12,31,13
2665,27,12,28,13
3295,27,13,31,16
3090,33,12,27,9
3250,28,16,30,12
3572,31,12,27,16
2865,25,12,29,16
3820,29,16,45,17
3175,31,17,36,12
3485,28,16,33,16
3150,28,16,29,14
3345,33,12,28,12
4309,31,12,41,12
3600,34,16,35,16
4629,26,12,28,12
3080,26,14,29,16
3033,29,14,24,12
3700,27,16,27,16
4045,31,14,31,16
3643,35,16,34,12
3850,29,13,32,16
2637,28,13,30,12
3005,33,12,32,12
3317,30,12,31,12
3460,31,15,34,14
2535,31,12,33,12
3580,28,16,30,15
4900,24,16,29,13
3827,44,17,46,16
3459,34,16,33,12
3317,37,16,32,12
3090,28,12,31,12
3370,34,12,40,12
3670,37,16,37,16
4280,27,13,32,16
3980,32,NA,33,14
3860,28,12,28,16
4188,32,12,33,10
3240,32,16,33,16
3317,30,16,41,17
3861,30,16,34,16
2875,20,11,22,11
3600,32,12,38,12
2780,32,12,34,16
3232,36,12,37,12
3320,30,16,37,17
3350,32,14,34,16
2670,41,12,50,16
3912,30,12,29,12
3940,30,14,30,16
1720,27,16,32,16
3391,31,16,32,12
3760,24,12,43,16
4210,38,14,42,17
3340,25,16,27,16
3890,29,17,32,17
3100,30,12,31,12
4167,31,16,31,16
3080,31,16,30,14
3840,28,12,39,16
2693,35,8,38,6
3756,27,12,30,12
3870,32,16,32,12
3360,31,13,27,12
4640,25,12,29,14
3370,32,12,31,12
3490,23,13,26,16
4065,36,16,39,16
4170,30,16,35,17
3360,35,15,62,15
4120,33,16,38,16
3005,33,16,33,16
3510,26,12,26,12
2770,23,12,24,12
2955,38,14,31,12
3060,24,12,23,12
3536,27,13,30,14
2839,44,16,33,17
4940,23,12,32,16
3218,33,17,31,17
4490,29,16,30,16
4076,27,16,29,17
2658,24,16,23,16
3595,27,12,28,11
2807,29,16,36,17
2590,22,16,26,16
2810,26,14,26,13
3360,29,12,33,16
4265,35,16,35,16
3459,25,12,32,10
3340,39,12,39,14
2370,31,16,35,16
3720,32,16,31,16
3629,26,16,26,16
3020,27,16,30,16
2835,30,12,30,12
3040,43,14,32,16
3120,25,12,36,12
4210,29,14,29,13
3289,38,16,36,13
3970,26,12,32,14
3030,30,12,31,12
4028,27,12,22,11
3459,28,14,31,12
3572,33,13,31,13
3487,26,12,34,16
3799,28,14,32,16
3450,32,14,35,16
3470,26,16,26,17
3048,24,12,34,12
3910,35,12,31,16
3130,30,13,32,17
3530,28,12,27,12
3232,30,16,32,12
2880,24,12,28,12
2807,27,16,31,17
3090,20,12,24,16
3030,29,13,28,10
4054,27,12,32,16
3570,31,13,33,17
3062,29,13,30,12
3048,24,12,21,12
3180,37,16,37,16
3770,27,13,34,16
3520,30,16,32,16
2630,32,16,33,14
3715,28,16,30,16
3204,33,12,28,17
2835,31,16,34,16
2523,25,16,28,16
3370,28,14,30,12
2892,32,14,33,16
3990,33,16,33,16
3890,31,11,30,11
3340,36,12,38,12
3742,26,10,29,12
3360,27,14,28,14
4106,31,12,31,16
3317,36,10,40,10
3475,41,17,34,17
3010,26,14,27,16
4196,26,16,26,16
3970,38,16,42,16
3430,35,16,29,12
3750,29,15,32,16
2590,23,16,24,12
3560,29,17,34,16
2980,33,17,36,17
2170,25,15,31,16
4260,31,16,43,12
3740,36,16,36,16
3100,34,16,37,16
3255,35,12,39,16
3680,29,12,30,12
3969,28,16,32,14
3940,40,16,37,16
3515,30,16,41,16
3320,25,16,30,17
4181,36,12,36,17
3120,27,12,29,12
3420,35,12,34,12
3345,32,12,33,12
2438,21,12,24,12
3220,28,14,31,16
3033,38,14,46,12
3390,36,16,38,16
3350,32,12,34,16
2990,34,12,34,14
3260,34,16,29,12
2750,26,11,26,12
3195,35,17,34,17
4238,33,12,33,14
3232,30,12,35,16
2860,25,14,28,12
2722,18,12,20,12
3425,29,16,30,17
4111,28,16,37,16
4026,23,12,36,9
3572,24,12,28,16
4360,32,16,31,16
2440,38,16,36,16
2780,28,12,30,12
4020,33,16,30,16
2475,29,12,36,12
3165,28,12,39,16
3000,28,12,25,12
3280,23,16,26,12
3830,28,12,30,12
3827,30,12,33,14
3487,33,14,35,14
3910,27,16,29,16
3730,34,12,35,12
3940,28,12,34,16
3610,29,16,27,14
3420,40,12,49,12
3155,24,14,31,16
3500,31,12,29,16
3310,19,11,26,12
3480,32,15,34,16
4770,33,16,28,14
2310,33,16,34,16
2210,30,16,28,13
3180,32,16,31,16
3380,36,17,36,17
2910,32,16,29,16
3629,28,17,27,14
3865,32,14,31,17
3558,23,6,28,6
3289,38,13,34,17
3742,25,12,28,14
3629,28,14,30,12
3720,30,12,30,14
3480,25,12,26,12
4080,33,16,36,12
3295,31,12,30,14
3910,29,16,28,16
2490,30,16,29,16
4000,31,12,35,16
3770,30,14,30,10
3620,33,16,33,16
3480,42,16,47,16
2984,28,17,31,17
2935,32,13,36,16
3714,30,17,28,16
3260,32,14,34,12
2965,41,12,46,16
3440,31,12,31,16
4090,30,15,32,16
3629,27,12,29,13
3544,28,16,32,16
3374,25,12,29,12
3300,29,16,38,16
3800,25,12,27,12
3730,29,12,29,16
4205,30,16,36,16
3605,32,14,36,12
3799,29,13,44,12
3218,32,13,30,12
2810,28,14,34,16
4185,33,12,43,10
3515,27,12,31,16
3870,28,12,30,12
3080,31,14,34,12
3690,31,16,31,16
3459,21,13,25,16
3260,31,12,35,16
3560,33,14,29,16
3980,29,14,30,14
3495,26,12,35,16
4082,33,17,35,17
3110,29,16,27,16
4180,29,12,30,13
3170,29,15,34,17
3792,28,12,33,12
506,30,14,31,14
3565,29,13,30,17
2750,24,15,26,16
4890,28,13,30,16
3203,28,12,28,12
3380,30,14,36,12
2890,32,14,37,12
4045,31,16,29,16
2990,31,17,29,16
3005,23,12,24,12
3310,25,16,29,14
3260,21,12,27,12
3840,32,16,27,16
4110,30,12,32,12
3973,30,14,32,12
4730,31,16,34,16
3033,23,12,26,12
2722,32,12,32,17
3090,36,16,38,16
4360,31,16,31,16
2790,21,12,27,12
3104,27,16,19,12
3317,28,12,31,17
3260,32,12,33,7
3374,22,12,21,12
4167,26,16,30,15
2807,24,12,31,14
3529,31,13,34,13
2280,38,16,32,16
2830,28,16,43,14
3374,20,11,21,14
3570,31,16,41,16
3400,31,16,36,13
2610,31,12,34,12
3560,32,16,32,16
4706,27,15,32,16
4070,31,12,30,17
3402,30,14,29,12
3910,40,13,45,14
3941,30,12,34,17
4050,28,12,40,16
4060,28,14,29,14
2880,25,16,27,12
3686,25,12,25,12
3370,40,17,45,17
3430,26,12,29,16
4560,33,16,33,16
3380,37,16,33,14
2637,25,14,28,14
2920,26,12,36,17
3770,28,12,32,16
3799,29,16,30,16
4630,29,14,34,16
3390,29,12,31,12
2530,25,16,24,17
3572,32,12,30,12
3410,27,16,25,15
3300,27,16,28,16
3800,29,15,35,16
3680,27,13,38,16
2580,37,17,28,17
3850,26,6,34,6
3090,27,12,41,12
3289,32,12,44,12
4470,28,14,28,12
2980,20,12,23,16
3600,40,17,41,16
3742,34,14,41,14
2940,26,16,29,16
3790,30,12,30,12
3340,32,13,33,16
3435,32,12,30,14
3710,39,16,37,16
4020,30,14,32,14
3250,32,16,44,16
3920,38,16,33,16
3750,32,16,35,16
3510,23,14,34,12
3910,31,16,32,16
3265,38,16,45,16
3317,30,12,31,17
3860,25,12,33,14
3085,24,12,25,12
3104,36,12,21,14
2235,37,16,29,12
4028,26,3,26,9
2880,26,12,48,12
3400,27,16,28,16
2500,28,17,30,16
3317,22,15,34,17
4040,38,16,30,16
3250,29,12,30,12
2580,24,13,28,12
3175,33,16,36,14
3790,34,16,36,17
2920,31,16,48,12
3615,29,16,29,16
3545,33,16,33,16
3010,29,16,31,16
3310,31,16,34,16
3750,31,7,27,10
3771,28,12,31,14
3530,29,14,30,14
3255,26,12,27,12
3290,30,14,33,16
3805,24,12,26,12
3160,25,12,26,12
3345,34,13,35,14
1710,35,16,41,8
3775,28,16,27,16
3054,25,13,27,16
3912,34,16,42,12
2637,23,14,23,14
3325,26,14,34,12
3500,31,12,43,12
3430,36,12,37,16
2835,29,14,29,14
2410,25,12,24,12
2970,37,12,37,14
2850,33,16,34,16
2060,34,13,38,12
3487,31,16,40,17
2990,34,13,31,12
3390,27,12,28,12
3410,30,16,37,16
4360,33,12,37,12
2360,31,12,36,12
3190,35,15,38,16
3665,25,12,24,14
3760,26,16,31,16
3430,28,16,35,16
3430,31,12,39,12
3204,30,12,30,6
2680,37,16,39,17
3629,33,17,32,17
2890,30,12,30,12
3190,21,13,25,16
3110,30,16,30,16
3520,34,14,38,12
3232,26,12,26,12
3799,33,16,31,16
4000,39,12,39,12
3969,30,16,30,16
2870,21,11,23,12
4933,36,17,31,12
2810,37,16,37,16
2760,27,15,27,13
4111,24,12,25,12
3000,30,13,32,12
3180,24,12,27,12
3430,29,12,33,12
2948,31,16,31,16
2710,23,12,27,12
3289,40,17,44,12
3340,32,12,33,12
3610,36,NA,39,17
680,28,14,29,16
3175,33,13,33,17
2688,40,16,37,16
3685,26,16,28,16
4225,31,13,39,13
3180,30,12,28,8
2760,34,16,48,16
3635,25,16,35,16
3650,26,11,29,12
3487,34,12,34,16
3300,30,16,40,16
3203,35,16,46,16
4240,33,16,40,16
2778,35,17,35,14
4139,21,13,19,13
3515,26,12,28,10
4040,30,16,30,16
3795,30,16,35,17
3630,27,12,25,12
3830,25,12,31,16
3880,32,16,33,12
3030,39,12,36,14
4245,27,11,31,12
1766,37,12,39,16
3425,31,16,34,14
3240,29,14,31,14
2948,35,13,31,13
3220,30,16,33,12
3374,34,16,36,16
3240,26,13,28,12
3098,27,16,33,17
3530,35,16,38,16
3390,29,14,32,16
2977,28,12,32,15
3572,33,15,41,14
2760,31,16,33,16
3118,40,16,44,17
3572,29,12,29,12
3380,23,12,30,12
3860,25,12,27,12
2820,30,14,28,15
3530,32,14,33,15
4423,32,13,32,16
3030,30,16,31,16
2750,30,12,27,14
4390,28,12,34,16
3190,24,12,26,12
2995,20,12,33,9
3062,31,16,46,12
4160,29,16,28,16
4110,24,14,30,14
2110,20,16,25,16
3470,34,14,37,16
3505,31,16,31,16
3410,31,12,25,12
3948,24,13,24,16
2977,30,14,38,14
3530,25,14,34,12
3600,29,12,30,14
2960,27,12,25,16
3545,24,11,33,12
3402,35,14,39,14
3775,33,16,30,16
3660,28,16,29,16
3390,38,16,36,14
3680,30,12,32,12
3005,26,6,28,6
3720,27,12,44,12
4050,28,12,34,12
2530,25,12,25,11
3740,29,12,29,16
3681,34,16,32,16
2693,38,16,40,16
3765,30,16,36,17
3232,34,14,34,16
3660,26,16,28,12
4470,28,11,27,16
3185,28,12,31,16
2890,21,12,23,10
3170,25,9,25,3
3090,26,10,27,9
3090,23,11,22,12
3515,28,16,28,16
4375,37,16,33,16
3400,33,12,36,17
2960,27,12,29,12
4435,31,16,35,12
3770,30,17,31,17
3076,25,12,28,12
4050,25,12,24,12
3090,25,14,28,16
1180,17,12,20,15
3420,31,17,32,16
2660,24,16,25,16
3080,32,16,31,16
2608,27,13,32,12
4791,35,17,49,14
4082,32,16,34,16
3629,34,16,30,16
3450,31,14,35,16
2977,28,12,30,15
3730,27,12,28,12
3150,36,16,36,16
3855,23,12,24,12
3930,29,16,30,16
3190,23,12,25,12
3850,34,15,25,15
3170,35,16,30,16
3040,34,16,34,16
3005,31,17,30,17
3650,34,17,34,17
3100,32,13,22,13
2778,23,12,23,8
3730,29,16,34,16
3370,32,12,38,12
3827,35,16,36,17
3590,25,12,28,12
3300,23,13,26,15
3280,30,14,30,16
3520,30,16,30,12
3827,30,12,32,11
3515,39,13,39,16
4536,24,15,25,12
3920,40,16,51,16
2608,23,12,18,9
3420,26,13,30,16
3374,32,16,38,17
3550,29,15,33,11
3030,31,12,31,12
2680,30,16,41,13
3345,29,16,29,15
3856,33,16,34,12
2750,27,14,28,12
4030,36,16,47,14
4100,35,16,37,13
3657,23,13,24,16
3680,28,12,31,16
3530,28,16,28,16
3884,38,17,45,14
3685,31,10,32,10
3600,38,12,40,12
3680,28,14,28,17
3800,35,12,37,13
4380,34,14,38,16
2580,29,12,37,16
3400,31,16,32,16
4026,35,13,36,12
3830,33,16,48,16
2860,26,12,37,16
2870,23,12,32,12
3827,30,12,41,12
2290,33,16,31,16
3856,36,12,38,12
3050,24,12,32,12
2450,24,12,25,10
3997,29,12,33,14
3119,32,16,29,16
4220,26,14,27,14
3997,31,16,24,16
4096,37,14,33,14
3941,33,12,38,12
3100,20,12,22,14
4111,26,12,27,12
3920,29,12,36,16
2670,26,14,31,14
3415,22,12,34,12
4250,30,16,29,16
3700,31,16,32,16
3147,28,12,29,12
4180,33,16,31,16
4230,29,12,31,12
3615,33,16,36,16
3450,35,16,37,16
3657,36,14,36,14
3714,34,12,35,12
3147,25,12,26,14
3260,31,12,39,12
3600,38,14,38,17
4026,34,12,37,14
3239,35,12,38,14
3220,32,16,33,16
3856,22,12,25,13
3000,29,16,31,16
3830,37,16,37,13
3232,28,12,28,16
3785,21,12,23,12
3695,33,16,36,16
3990,20,12,22,12
3544,28,11,37,12
3590,18,6,35,3
3590,25,17,23,14
2820,31,14,31,14
3150,28,14,26,14
3005,22,12,28,16
2800,29,16,38,16
3118,26,12,29,14
3520,26,12,38,12
3742,23,10,23,14
3884,28,12,26,12
3020,35,12,37,16
1710,35,12,26,12
3990,29,14,40,16
3345,29,16,33,16
3175,31,13,29,12
3430,29,13,29,14
3220,21,12,21,12
3115,28,14,31,14
3120,28,16,31,12
2430,36,16,36,16
3203,36,17,39,17
2580,39,16,44,16
3969,32,16,43,17
3119,30,12,33,12
3460,27,12,25,12
4167,31,12,34,12
2970,25,16,26,16
3350,35,17,32,17
2630,22,12,24,15
3430,23,10,28,13
3360,38,16,31,16
3374,30,12,30,12
4021,32,15,51,15
3827,25,12,24,12
3685,26,12,30,6
3770,28,14,28,12
2880,29,16,30,16
3412,39,17,58,17
2210,22,14,31,16
3352,29,12,28,14
3657,26,16,32,16
3465,23,14,26,14
3049,25,12,31,12
3742,23,6,29,12
2990,25,12,31,12
3657,38,15,43,16
3280,33,12,33,12
3430,30,11,40,10
4550,23,12,30,14
3600,27,14,27,16
3260,27,12,31,12
2580,32,12,40,16
2220,30,12,29,12
3175,33,13,37,14
4050,25,13,29,12
3630,35,12,32,16
3160,22,11,21,12
2771,35,15,34,17
3420,32,16,34,16
3140,36,16,35,17
3600,18,12,23,11
3660,27,17,27,14
3799,22,13,31,12
3520,32,16,32,16
2835,26,13,25,12
3640,24,7,26,13
3910,40,16,42,15
2890,27,12,30,16
3310,28,13,39,16
2110,39,12,38,12
3425,31,16,28,16
4480,25,14,31,16
3389,32,17,39,16
4580,31,16,34,14
2750,38,16,40,16
2520,33,NA,35,16
3459,39,12,26,12
3290,30,16,33,16
4224,34,16,39,16
3487,31,6,24,7
3062,21,12,23,9
3147,28,17,39,16
3750,21,16,27,14
2977,29,15,34,15
2700,32,12,33,13
4130,29,14,28,12
4423,32,14,33,16
3374,26,12,29,12
3104,23,12,25,12
4054,33,16,43,16
2810,21,14,21,13
2630,29,12,35,14
4394,30,15,28,16
3232,27,13,29,12
2722,32,16,33,17
2500,30,16,32,16
3554,29,12,35,12
4230,22,10,23,11
2920,40,15,35,15
3880,30,12,31,12
3320,32,12,33,12
3445,29,16,33,16
4295,30,12,39,11
4035,35,12,31,12
3090,37,12,42,12
2770,33,16,36,16
3050,31,16,31,16
3740,25,16,26,12
3490,33,16,37,16
2900,32,16,31,16
4335,25,16,26,16
3930,33,16,34,17
4205,23,14,29,16
3520,35,7,36,16
2240,28,12,32,14
4026,30,14,32,16
3033,24,12,35,16
3062,23,12,24,12
3050,26,16,28,15
3020,33,16,32,16
3550,31,17,34,16
3270,34,16,34,16
2890,29,14,23,12
2060,40,16,46,12
3430,26,15,29,12
3820,36,14,38,14
3380,31,12,37,16
3742,33,14,34,12
3155,26,12,28,12
3590,22,10,27,12
3600,32,12,30,12
3675,34,12,34,12
2890,24,12,37,10
3350,30,16,27,16
3425,26,12,27,12
3540,34,16,32,16
3050,29,16,32,16
4010,26,12,26,9
2980,35,16,37,16
3560,27,9,29,12
3010,28,16,31,16
3459,20,12,22,11
3650,28,16,36,12
3232,20,13,20,13
2710,32,13,33,10
3799,22,12,22,11
2825,27,12,30,11
3690,23,13,27,13
4224,34,13,25,12
3060,32,14,37,12
2770,33,12,33,16
4150,31,16,40,16
3535,28,13,28,14
3380,37,12,40,16
3760,33,12,34,12
3790,26,16,28,16
3090,27,11,29,12
3000,34,16,33,16
3150,35,12,35,9
3340,30,12,30,13
2010,31,12,30,14
4111,30,17,32,10
2920,28,17,34,17
3884,34,12,31,12
3430,23,12,25,13
3080,38,14,35,16
3721,27,12,29,12
3380,27,12,29,13
3655,36,16,40,16
3303,40,12,41,17
3162,29,16,32,16
3690,29,13,28,12
2977,33,12,39,17
3690,27,13,24,16
2700,25,16,31,16
3140,29,7,27,7
3700,34,13,36,16
3590,36,16,37,16
3203,25,14,26,17
4536,22,12,26,12
3402,31,16,31,16
3590,33,14,36,12
3889,31,14,39,12
2860,23,12,28,12
3912,25,12,31,9
3374,22,12,21,12
4564,28,16,29,17
3460,31,12,29,12
3730,29,14,29,16
4167,33,12,39,17
3530,19,11,25,12
3827,29,12,29,12
3210,26,15,31,17
2850,22,11,20,12
3380,26,16,30,16
3459,26,16,29,16
3690,27,16,30,16
3430,29,12,29,12
4338,34,12,38,13
3104,34,16,33,12
3230,28,16,35,16
3742,28,12,35,11
3600,39,14,39,17
3315,25,12,35,14
3000,23,11,23,11
4259,27,12,36,12
1280,28,14,35,12
2970,26,16,27,12
3450,39,13,43,16
3390,33,13,32,13
4535,32,6,41,6
2720,38,12,32,9
3700,30,16,34,12
3374,29,12,28,12
3090,32,13,28,13
3040,28,16,29,12
3840,23,13,33,12
4680,24,15,27,12
2960,23,13,26,16
4980,27,12,29,12
3600,33,16,33,16
3000,31,12,35,12
2665,32,15,30,16
2778,29,12,28,12
3800,25,14,30,16
2950,29,12,30,12
3920,25,12,26,12
3795,34,13,28,16
3580,20,12,20,12
3490,21,12,20,12
3220,28,16,31,12
4564,20,11,18,9
3195,29,12,29,12
3685,38,5,32,10
3582,29,16,27,16
4110,18,11,19,12
2920,28,14,47,17
2906,33,12,39,14
4010,28,16,30,16
3195,36,14,31,16
3330,22,13,24,12
3856,30,16,36,17
3245,29,12,34,12
3390,26,16,28,12
3692,32,16,32,17
3440,29,16,31,16
3742,18,12,20,12
2637,29,12,30,12
3600,33,12,40,14
3030,18,12,18,10
3550,37,16,41,16
3345,19,12,22,12
2470,36,16,38,16
3520,31,16,33,16
3742,26,12,29,14
4300,30,12,30,16
3480,32,16,32,16
3402,27,12,28,15
3629,25,12,39,8
3005,29,12,24,12
3515,36,12,35,16
3965,22,12,26,12
3572,25,14,26,13
3130,31,14,35,12
3685,30,12,28,12
3459,28,16,32,16
3810,39,16,38,16
3380,31,16,32,12
3345,27,16,27,16
3260,22,12,34,12
3742,31,17,35,17
3530,28,16,28,16
3150,28,12,29,12
3450,24,14,25,12
3340,39,14,41,12
3920,28,14,28,13
3140,30,12,31,12
2900,27,12,26,12
2640,27,14,29,14
3290,32,12,34,12
3490,35,16,36,16
3360,25,16,30,12
3883,30,16,31,16
3600,23,13,24,12
3890,26,12,28,12
3629,21,12,25,10
4310,30,16,38,16
2975,38,16,37,12
3150,28,13,26,13
3912,28,13,31,12
2050,18,12,21,12
3760,29,12,29,12
3210,31,16,38,16
4054,30,12,33,12
3890,39,12,39,12
4054,34,16,34,12
3030,26,16,27,12
2885,31,12,46,12
3565,33,17,33,12
3770,29,16,28,16
3572,25,12,31,12
3685,35,16,42,17
3455,32,16,36,14
3147,34,16,39,12
2410,31,13,32,13
3345,32,12,33,12
3515,40,14,44,17
3120,31,17,33,15
3750,18,12,20,12
3010,37,14,36,16
3240,33,14,41,16
2948,24,12,23,12
2890,34,12,34,12
3450,29,12,32,10
3540,30,14,33,14
4090,22,12,31,12
4030,26,12,22,9
3912,30,16,29,16
2780,25,12,25,12
2665,26,12,25,12
3650,21,13,23,14
2750,19,12,19,11
4430,37,13,41,16
3275,34,16,34,16
3475,32,10,31,12
3650,28,12,35,16
3085,28,16,28,15
3686,29,12,29,12
3515,29,15,32,16
3680,32,12,37,12
3480,27,15,32,15
3714,38,16,37,17
2877,33,14,38,12
3317,27,14,31,14
3435,36,12,36,16
2990,32,12,40,16
2637,38,16,41,12
3490,30,15,36,16
3317,30,16,33,12
1984,19,11,26,8
3170,36,16,36,16
3700,32,12,34,12
3685,38,16,38,16
3515,26,12,26,12
2860,20,10,22,11
3290,26,16,28,16
4200,22,12,25,12
2840,29,12,29,12
2670,29,16,29,12
3620,36,14,36,14
5204,30,14,30,16
3799,26,14,28,16
3209,26,12,25,12
3437,30,16,32,17
3730,28,16,31,16
3690,28,16,29,16
3710,29,16,32,16
2778,34,12,34,12
2980,32,16,41,12
2625,25,13,32,12
4190,30,14,30,12
2470,32,16,35,16
3210,28,15,34,16
3402,33,14,34,11
3600,26,11,26,16
3490,32,12,33,12
4295,32,17,32,17
3180,22,13,27,16
3785,23,12,31,12
2890,28,10,30,11
2580,25,14,27,17
2948,30,12,26,11
3940,31,12,36,12
3430,26,14,26,14
3640,35,16,33,16
3310,25,12,26,12
3700,34,17,36,16
3510,23,12,24,12
3997,27,12,30,12
3150,27,12,30,12
3295,27,12,30,12
3900,38,17,44,12
3856,23,12,28,12
3430,36,16,34,17
3040,23,12,24,12
681,29,12,31,16
2835,34,17,35,16
3870,20,12,19,12
2350,19,11,18,12
2920,29,12,36,12
3550,29,12,29,12
2550,30,16,32,16
3430,33,16,32,16
3430,35,12,35,12
4100,40,14,33,12
3730,29,16,27,16
2845,28,11,29,12
3062,25,13,28,13
4560,29,16,35,16
4054,25,14,30,12
3600,35,14,37,16
2340,29,12,27,16
3130,33,15,35,16
3015,22,13,25,16
3402,32,12,26,12
3180,24,12,29,11
2920,19,12,20,12
3289,24,12,26,12
4180,29,15,31,15
3860,30,16,31,16
3560,26,14,29,14
4082,25,14,26,12
3115,25,16,33,16
3180,30,16,27,12
3985,32,16,31,16
2990,30,16,31,15
4110,17,11,18,10
2710,26,12,28,14
3629,36,16,38,12
3945,37,12,38,12
3317,33,14,35,16
3827,28,12,28,12
3030,20,12,20,12
3230,35,12,37,16
3760,28,12,33,16
3570,27,16,28,16
2630,22,12,28,12
4210,28,16,33,16
3050,29,15,33,12
3175,23,12,28,12
2665,22,13,22,15
2977,29,12,29,14
2640,20,12,20,15
3105,29,16,33,12
3317,28,12,31,16
2785,28,13,30,16
4026,26,16,28,17
3660,33,14,33,15
4350,30,17,34,17
3790,26,12,29,12
360,33,12,31,11
3580,38,16,39,14
3572,33,14,35,11
4815,34,14,39,12
3030,30,12,30,14
4183,36,16,41,16
3585,27,12,31,12
3165,29,16,33,17
2860,31,17,31,16
3880,34,12,40,12
3098,30,16,31,16
3200,28,14,30,12
2637,38,16,37,17
4340,33,12,33,12
3920,27,13,29,16
3360,36,16,35,16
3550,27,14,36,12
3005,29,13,27,12
3289,27,12,24,12
3941,31,13,30,12
3335,32,16,40,12
3629,30,12,37,13
2790,31,14,39,13
4621,20,10,20,8
3799,21,13,23,14
3750,32,12,32,12
3600,29,14,32,12
3742,29,17,46,17
3374,39,16,39,16
3005,28,17,31,17
3232,32,12,34,12
3459,28,14,27,14
3670,35,16,36,16
3714,24,12,27,12
3600,32,16,33,16
3260,30,12,36,12
1956,35,12,37,12
4080,25,16,29,12
2722,31,12,39,10
2892,42,17,42,7
5160,32,17,25,13
3590,36,12,38,12
3630,36,16,33,12
3180,31,16,32,12
2835,22,11,24,12
4270,27,12,22,12
1660,22,9,23,11
3119,20,13,23,16
3545,29,16,34,16
4690,24,10,30,6
5018,28,14,30,16
3370,27,16,25,14
3240,30,16,38,16
3740,37,16,36,17
3180,28,15,27,12
4130,21,12,27,12
3010,30,14,30,12
3374,29,12,33,12
3540,37,17,36,12
3820,32,17,33,17
3345,26,17,27,16
4082,31,16,34,16
3280,31,12,31,12
4545,38,16,39,16
3200,27,12,32,14
3940,28,16,30,16
3925,28,12,27,12
3400,31,12,32,13
3147,29,16,34,17
3260,36,17,47,16
3100,23,12,31,12
