bwght,faminc,male,cigs
2976.7,27.5,1,0
2976.7,22.5,0,0
2976.7,12.5,1,0
3005.0496,47.5,0,0
3005.0496,2.5,1,0
3005.0496,10.5,1,0
3005.0496,22.5,0,0
3005.0496,42.5,0,0
3005.0496,18.5,0,0
3005.0496,65,1,0
3005.0496,42.5,1,0
3005.0496,65,0,0
3005.0496,32.5,0,0
3005.0496,37.5,0,0
3005.0496,27.5,0,10
3005.0496,37.5,1,0
3005.0496,27.5,1,0
3005.0496,65,0,0
3005.0496,65,1,0
3005.0496,65,0,0
3005.0496,42.5,0,0
3005.0496,27.5,1,10
3005.0496,65,1,0
3005.0496,18.5,0,0
3005.0496,32.5,1,0
3005.0496,65,1,0
3005.0496,8.5,1,0
3005.0496,32.5,0,0
3005.0496,27.5,0,0
3033.3989,22.5,1,0
3033.3989,16.5,1,0
3033.3989,22.5,0,0
3033.3989,42.5,0,6
3033.3989,65,0,0
3033.3989,32.5,1,0
3033.3989,12.5,1,20
3033.3989,17.5,0,0
3033.3989,32.5,0,0
3033.3989,14.5,1,0
3033.3989,42.5,1,0
3033.3989,47.5,1,0
3033.3989,22.5,0,0
3033.3989,14.5,0,0
3033.3989,22.5,1,0
3033.3989,7.5,0,0
3033.3989,42.5,0,0
3033.3989,65,0,0
3033.3989,22.5,0,0
3033.3989,65,1,0
3033.3989,8.5,0,0
3033.3989,22.5,1,0
3033.3989,19.5,1,0
3061.7485,65,0,0
3061.7485,32.5,1,0
3061.7485,18.5,1,0
3061.7485,37.5,1,0
3061.7485,7.5,1,0
3061.7485,37.5,1,0
3061.7485,6.5,0,20
3061.7485,27.5,1,0
3061.7485,27.5,0,0
3061.7485,32.5,0,0
3061.7485,65,1,0
3061.7485,18.5,1,0
3061.7485,65,0,0
3061.7485,0.5,1,0
3061.7485,10.5,1,0
3061.7485,5.5,0,0
3061.7485,37.5,0,0
3061.7485,0.5,1,0
3061.7485,32.5,0,0
3061.7485,37.5,1,0
3061.7485,22.5,0,0
3061.7485,22.5,0,0
3061.7485,37.5,1,4
3061.7485,22.5,1,0
3061.7485,19.5,0,0
3090.0979,42.5,1,0
3090.0979,2.5,1,3
3090.0979,4.5,1,0
3090.0979,7.5,1,5
3090.0979,18.5,0,0
3090.0979,37.5,1,0
3090.0979,32.5,1,0
3090.0979,9.5,0,0
3090.0979,0.5,1,10
3090.0979,37.5,0,15
3090.0979,5.5,1,0
3090.0979,27.5,0,0
3090.0979,4.5,1,0
3090.0979,65,1,0
3090.0979,13.5,1,0
3090.0979,37.5,0,0
3090.0979,19.5,1,0
3090.0979,27.5,1,0
3090.0979,4.5,1,0
3090.0979,37.5,1,0
3090.0979,6.5,0,0
3090.0979,3.5,1,0
3090.0979,13.5,0,10
3090.0979,1.5,0,0
3118.4475,65,1,0
3118.4475,22.5,1,0
3118.4475,42.5,0,0
3118.4475,65,0,0
3118.4475,65,0,0
3118.4475,19.5,1,0
3118.4475,13.5,1,0
3118.4475,32.5,1,0
3118.4475,42.5,0,0
3118.4475,32.5,0,0
3118.4475,22.5,0,0
3118.4475,4.5,1,0
3118.4475,12.5,0,0
3118.4475,19.5,0,0
3118.4475,65,1,0
3118.4475,65,1,0
3118.4475,32.5,1,0
3118.4475,27.5,1,0
3118.4475,19.5,0,0
3118.4475,13.5,0,10
3118.4475,42.5,0,0
3118.4475,27.5,0,0
3146.7971,27.5,0,0
3146.7971,10.5,0,0
3146.7971,32.5,1,0
3146.7971,12.5,0,0
3146.7971,37.5,0,0
3146.7971,13.5,1,0
3146.7971,27.5,1,0
3146.7971,8.5,1,15
3146.7971,22.5,0,0
3146.7971,65,1,0
3146.7971,65,0,0
3146.7971,22.5,1,0
3146.7971,65,0,0
3146.7971,32.5,1,0
3146.7971,22.5,1,0
3146.7971,14.5,1,0
3146.7971,0.5,1,15
3146.7971,4.5,1,20
3175.1465,65,1,0
3175.1465,2.5,0,10
3175.1465,32.5,1,0
3175.1465,42.5,1,0
3175.1465,9.5,0,0
3175.1465,18.5,1,0
3175.1465,8.5,0,0
3175.1465,6.5,1,0
3175.1465,16.5,0,0
3175.1465,18.5,1,0
3175.1465,47.5,0,0
3175.1465,27.5,1,0
3175.1465,18.5,0,20
3175.1465,32.5,1,0
3175.1465,47.5,0,0
3175.1465,42.5,0,0
3175.1465,12.5,0,0
3175.1465,65,1,12
3175.1465,22.5,0,0
3175.1465,32.5,0,0
3175.1465,27.5,0,0
3175.1465,19.5,1,0
3175.1465,11.5,1,0
3175.1465,42.5,0,0
3175.1465,65,1,0
3175.1465,32.5,1,0
3175.1465,32.5,1,0
3175.1465,27.5,0,0
3175.1465,27.5,0,0
3175.1465,37.5,1,20
3175.1465,19.5,0,0
3175.1465,18.5,1,0
3175.1465,65,0,0
3175.1465,22.5,1,10
3175.1465,18.5,1,5
3175.1465,27.5,1,0
3203.4961,22.5,0,0
3203.4961,18.5,1,0
3203.4961,65,0,0
3203.4961,32.5,1,0
3203.4961,6.5,0,0
3203.4961,22.5,1,0
3203.4961,15.5,0,20
3203.4961,10.5,0,10
3203.4961,13.5,1,0
3203.4961,42.5,1,0
3203.4961,18.5,0,10
3203.4961,32.5,1,1
3203.4961,37.5,1,0
3203.4961,19.5,1,0
3203.4961,4.5,0,20
3203.4961,22.5,0,0
3203.4961,27.5,1,0
3203.4961,32.5,1,0
3203.4961,42.5,1,0
3203.4961,42.5,1,0
3203.4961,47.5,1,0
3203.4961,65,0,0
3203.4961,1.5,1,0
3203.4961,65,1,0
3203.4961,47.5,0,0
3203.4961,0.5,1,0
3203.4961,27.5,1,0
3231.8457,32.5,1,0
3231.8457,65,0,0
3231.8457,22.5,0,0
3231.8457,32.5,1,0
3231.8457,3.5,0,0
3231.8457,65,0,0
3231.8457,32.5,1,0
3231.8457,6.5,1,0
3231.8457,14.5,1,0
3231.8457,65,1,0
3231.8457,65,0,0
3231.8457,2.5,1,0
3231.8457,32.5,0,0
3231.8457,37.5,0,15
3231.8457,22.5,1,0
3231.8457,19.5,0,0
3231.8457,27.5,0,0
3231.8457,22.5,1,0
3231.8457,22.5,1,8
3231.8457,37.5,0,1
3231.8457,27.5,1,0
3231.8457,65,0,0
3231.8457,37.5,1,0
3231.8457,32.5,0,7
3231.8457,37.5,1,0
3231.8457,42.5,1,0
3231.8457,9.5,0,0
3231.8457,65,1,0
3231.8457,12.5,0,0
3231.8457,27.5,1,0
3231.8457,32.5,0,0
3231.8457,2.5,0,0
3231.8457,16.5,0,10
3231.8457,27.5,0,0
3260.1951,37.5,0,0
3260.1951,22.5,1,0
3260.1951,27.5,1,0
3260.1951,65,0,0
3260.1951,27.5,0,0
3260.1951,47.5,0,0
3260.1951,22.5,1,15
3260.1951,6.5,0,20
3260.1951,18.5,0,0
3260.1951,18.5,0,40
3260.1951,6.5,1,0
3260.1951,9.5,0,0
3260.1951,37.5,1,0
3260.1951,42.5,1,0
3260.1951,17.5,1,0
3260.1951,8.5,0,0
3260.1951,65,0,0
3260.1951,27.5,0,0
3260.1951,7.5,0,3
3260.1951,7.5,1,0
3260.1951,32.5,0,0
3260.1951,3.5,0,0
3260.1951,0.5,0,0
3260.1951,15.5,0,10
3260.1951,65,1,0
3260.1951,5.5,0,10
3260.1951,7.5,0,0
3260.1951,27.5,1,0
3260.1951,13.5,1,0
3260.1951,19.5,0,0
3260.1951,19.5,1,0
3260.1951,65,1,0
3260.1951,22.5,0,0
3260.1951,18.5,0,0
3260.1951,32.5,1,0
3260.1951,47.5,0,10
3288.5447,65,1,0
3288.5447,42.5,0,0
3288.5447,6.5,1,0
3288.5447,32.5,0,10
3288.5447,27.5,0,0
3288.5447,2.5,1,0
3288.5447,9.5,0,20
3288.5447,32.5,1,0
3288.5447,16.5,1,0
3288.5447,47.5,1,0
3288.5447,65,1,0
3288.5447,65,0,0
3288.5447,65,1,0
3288.5447,37.5,1,30
3288.5447,37.5,1,0
3288.5447,32.5,1,0
3288.5447,27.5,1,0
3288.5447,18.5,1,0
3288.5447,65,0,0
3288.5447,16.5,1,0
3288.5447,65,1,0
3288.5447,22.5,0,0
3288.5447,7.5,1,0
3288.5447,27.5,1,0
3288.5447,47.5,1,0
3316.8943,7.5,0,0
3316.8943,27.5,1,0
3316.8943,14.5,0,0
3316.8943,42.5,1,0
3316.8943,15.5,1,0
3316.8943,37.5,1,0
3316.8943,18.5,0,0
3316.8943,18.5,0,15
3316.8943,65,0,0
3316.8943,32.5,1,0
3316.8943,27.5,0,0
3316.8943,22.5,0,0
3316.8943,27.5,1,0
3316.8943,42.5,0,0
3316.8943,15.5,1,0
3316.8943,27.5,1,0
3316.8943,0.5,0,0
3316.8943,27.5,0,0
3316.8943,65,0,0
3316.8943,37.5,1,0
3316.8943,0.5,1,0
3316.8943,65,1,0
3316.8943,42.5,0,20
3316.8943,47.5,1,0
3316.8943,3.5,0,0
3316.8943,17.5,1,0
3345.2437,7.5,1,0
3345.2437,22.5,1,0
3345.2437,16.5,1,0
3345.2437,47.5,0,0
3345.2437,22.5,0,0
3345.2437,27.5,1,0
3345.2437,32.5,0,0
3345.2437,42.5,1,0
3345.2437,65,1,0
3345.2437,32.5,0,0
3345.2437,37.5,1,0
3345.2437,12.5,1,20
3345.2437,22.5,1,15
3345.2437,22.5,1,0
3345.2437,37.5,0,0
3345.2437,27.5,0,0
3345.2437,19.5,0,10
3345.2437,47.5,1,20
3345.2437,65,0,0
3345.2437,18.5,1,0
3345.2437,22.5,0,0
3345.2437,37.5,1,0
3373.5933,22.5,0,0
3373.5933,15.5,0,0
3373.5933,4.5,1,0
3373.5933,19.5,0,0
3373.5933,18.5,1,0
3373.5933,27.5,0,0
3373.5933,47.5,0,5
3373.5933,7.5,1,20
3373.5933,19.5,0,0
3373.5933,27.5,0,0
3373.5933,47.5,1,0
3373.5933,27.5,0,4
3373.5933,32.5,0,0
3373.5933,17.5,0,0
3373.5933,5.5,1,0
3373.5933,22.5,1,0
3373.5933,65,1,0
3373.5933,65,0,10
3373.5933,22.5,1,0
3373.5933,47.5,1,0
3373.5933,22.5,1,0
3373.5933,42.5,1,0
3373.5933,65,1,0
3373.5933,22.5,0,0
3373.5933,17.5,1,20
3373.5933,12.5,0,3
3373.5933,4.5,0,0
3373.5933,27.5,1,0
3373.5933,17.5,0,0
3373.5933,22.5,0,0
3373.5933,42.5,1,0
3401.9429,32.5,0,20
3401.9429,22.5,1,0
3401.9429,32.5,1,4
3401.9429,32.5,1,0
3401.9429,6.5,1,0
3401.9429,16.5,0,0
3401.9429,19.5,0,10
3401.9429,18.5,1,0
3401.9429,37.5,0,5
3401.9429,22.5,1,0
3401.9429,6.5,0,20
3401.9429,10.5,1,0
3401.9429,14.5,0,0
3401.9429,6.5,1,20
3401.9429,17.5,0,0
3401.9429,32.5,1,4
3401.9429,65,0,0
3401.9429,37.5,0,0
3401.9429,32.5,1,0
3401.9429,19.5,1,10
3401.9429,22.5,1,0
3401.9429,65,1,0
3401.9429,22.5,1,20
3401.9429,22.5,0,0
3401.9429,22.5,1,0
3401.9429,27.5,0,0
3401.9429,42.5,0,0
3401.9429,14.5,0,5
3401.9429,22.5,1,0
3401.9429,42.5,1,0
3401.9429,37.5,0,0
3401.9429,15.5,0,0
3401.9429,32.5,1,5
3401.9429,2.5,1,0
3401.9429,65,1,0
3401.9429,47.5,0,0
3401.9429,32.5,0,0
3401.9429,32.5,1,0
3401.9429,19.5,1,0
3401.9429,37.5,0,0
3401.9429,19.5,0,0
3430.2922,14.5,0,6
3430.2922,22.5,0,0
3430.2922,22.5,1,10
3430.2922,65,0,0
3430.2922,32.5,0,0
3430.2922,65,1,0
3430.2922,22.5,1,20
3430.2922,15.5,1,0
3430.2922,47.5,1,0
3430.2922,65,0,0
3430.2922,18.5,0,0
3430.2922,18.5,1,0
3430.2922,12.5,1,0
3430.2922,19.5,0,0
3430.2922,17.5,1,0
3430.2922,37.5,1,0
3430.2922,18.5,1,0
3430.2922,27.5,0,0
3430.2922,0.5,1,46
3430.2922,42.5,1,0
3430.2922,19.5,0,20
3458.6418,17.5,0,0
3458.6418,10.5,1,0
3458.6418,18.5,1,0
3458.6418,32.5,0,0
3458.6418,9.5,1,0
3458.6418,22.5,1,0
3458.6418,32.5,1,0
3458.6418,0.5,0,0
3458.6418,65,1,0
3458.6418,27.5,1,0
3458.6418,32.5,0,10
3458.6418,65,1,0
3458.6418,8.5,1,0
3458.6418,17.5,1,0
3458.6418,27.5,0,0
3458.6418,14.5,0,0
3458.6418,12.5,0,0
3458.6418,65,0,10
3458.6418,22.5,1,0
3458.6418,47.5,0,0
3458.6418,32.5,0,0
3458.6418,6.5,1,40
3458.6418,13.5,0,0
3458.6418,37.5,0,0
3458.6418,12.5,1,0
3458.6418,27.5,0,0
3458.6418,27.5,1,0
3458.6418,42.5,1,0
3458.6418,17.5,0,0
3458.6418,65,0,0
3486.9915,8.5,0,0
3486.9915,1.5,0,0
3486.9915,27.5,1,0
3486.9915,10.5,1,0
3486.9915,65,1,0
3486.9915,27.5,1,0
3486.9915,42.5,0,0
3486.9915,65,1,0
3486.9915,22.5,1,0
3486.9915,8.5,1,0
3486.9915,65,1,0
3486.9915,8.5,0,0
3486.9915,27.5,0,0
3486.9915,27.5,1,10
3486.9915,19.5,1,0
3486.9915,42.5,0,0
3486.9915,65,1,0
3486.9915,12.5,1,5
3486.9915,19.5,1,0
3486.9915,22.5,1,0
3486.9915,37.5,0,0
3486.9915,5.5,0,0
3486.9915,18.5,0,0
3486.9915,65,1,0
3486.9915,18.5,0,0
3486.9915,27.5,0,0
3486.9915,37.5,1,0
3486.9915,19.5,0,0
3486.9915,22.5,0,0
3486.9915,15.5,1,0
3486.9915,32.5,1,0
3486.9915,32.5,0,0
3486.9915,15.5,1,0
3486.9915,32.5,0,0
3486.9915,65,1,0
3515.3408,27.5,1,0
3515.3408,37.5,0,0
3515.3408,32.5,1,0
3515.3408,7.5,1,0
3515.3408,22.5,0,0
3515.3408,22.5,1,0
3515.3408,27.5,1,0
3515.3408,11.5,1,20
3515.3408,7.5,0,0
3515.3408,37.5,0,0
3515.3408,22.5,0,0
3515.3408,37.5,1,0
3515.3408,65,1,0
3515.3408,65,0,0
3515.3408,22.5,1,0
3515.3408,27.5,0,0
3515.3408,18.5,0,0
3515.3408,27.5,1,0
3515.3408,65,1,0
3515.3408,22.5,1,5
3515.3408,22.5,0,0
3515.3408,22.5,1,0
3515.3408,65,0,20
3515.3408,2.5,1,0
3515.3408,27.5,0,0
3515.3408,32.5,0,0
3515.3408,22.5,1,0
3515.3408,42.5,1,0
3515.3408,65,1,0
3515.3408,32.5,1,20
3543.6904,9.5,1,20
3543.6904,65,0,0
3543.6904,17.5,1,0
3543.6904,27.5,1,0
3543.6904,47.5,0,0
3543.6904,9.5,1,0
3543.6904,65,0,0
3543.6904,12.5,1,0
3543.6904,10.5,1,0
3543.6904,65,1,0
3543.6904,22.5,1,0
3543.6904,10.5,0,0
3543.6904,65,1,0
3543.6904,37.5,1,0
3543.6904,16.5,0,0
3543.6904,37.5,1,0
3543.6904,32.5,0,0
3543.6904,27.5,0,0
3543.6904,47.5,1,0
3543.6904,19.5,0,0
3543.6904,18.5,0,0
3543.6904,18.5,0,0
3543.6904,27.5,1,0
3543.6904,47.5,1,0
3543.6904,42.5,1,0
3572.0398,42.5,0,0
3572.0398,22.5,0,20
3572.0398,6.5,1,0
3572.0398,27.5,1,0
3572.0398,37.5,1,0
3572.0398,9.5,0,0
3572.0398,32.5,0,0
3572.0398,22.5,1,0
3572.0398,7.5,0,0
3572.0398,65,0,0
3572.0398,42.5,0,0
3572.0398,22.5,0,0
3572.0398,32.5,1,0
3572.0398,42.5,0,15
3572.0398,11.5,0,0
3572.0398,3.5,1,0
3572.0398,47.5,0,0
3572.0398,47.5,1,0
3572.0398,15.5,1,0
3572.0398,65,1,0
3572.0398,22.5,1,0
3572.0398,37.5,1,0
3572.0398,65,0,0
3572.0398,42.5,0,0
3572.0398,65,1,0
3572.0398,15.5,1,0
3572.0398,17.5,0,0
3600.3894,37.5,1,0
3600.3894,22.5,0,10
3600.3894,8.5,1,0
3600.3894,27.5,0,0
3600.3894,17.5,1,0
3600.3894,17.5,1,0
3600.3894,11.5,1,0
3600.3894,32.5,1,0
3600.3894,32.5,1,0
3600.3894,42.5,1,0
3600.3894,27.5,0,0
3600.3894,65,0,0
3600.3894,5.5,0,0
3600.3894,47.5,1,0
3600.3894,47.5,1,0
3600.3894,42.5,0,0
3600.3894,37.5,1,0
3600.3894,42.5,0,0
3600.3894,47.5,1,0
3600.3894,47.5,0,0
3600.3894,27.5,0,0
3600.3894,15.5,0,0
3600.3894,32.5,0,0
3600.3894,22.5,0,0
3628.739,27.5,1,0
3628.739,65,1,0
3628.739,19.5,1,0
3628.739,65,0,0
3628.739,47.5,0,0
3628.739,2.5,1,0
3628.739,17.5,0,20
3628.739,37.5,1,0
3628.739,2.5,0,0
3628.739,65,1,20
3628.739,42.5,1,0
3628.739,47.5,0,0
3628.739,4.5,0,9
3628.739,65,0,0
3628.739,22.5,0,20
3628.739,37.5,0,0
3628.739,65,0,0
3628.739,47.5,1,0
3628.739,22.5,0,0
3628.739,47.5,0,0
3628.739,32.5,1,0
3628.739,37.5,0,0
3628.739,19.5,1,15
3628.739,19.5,1,10
3628.739,27.5,0,0
3628.739,8.5,1,0
3628.739,32.5,1,0
3628.739,65,1,0
3628.739,27.5,1,0
3628.739,65,0,0
3628.739,32.5,0,0
3628.739,42.5,1,0
3628.739,8.5,0,0
3628.739,37.5,0,0
3628.739,42.5,0,0
3628.739,15.5,1,0
3628.739,18.5,0,0
3628.739,32.5,1,0
3628.739,19.5,1,0
3628.739,32.5,0,0
3628.739,8.5,1,0
3657.0884,12.5,1,20
3657.0884,17.5,1,0
3657.0884,13.5,0,0
3657.0884,22.5,1,0
3657.0884,32.5,1,0
3657.0884,65,1,0
3657.0884,47.5,0,0
3657.0884,65,0,0
3657.0884,37.5,0,0
3657.0884,8.5,1,0
3657.0884,15.5,1,6
3657.0884,37.5,0,0
3657.0884,11.5,0,5
3657.0884,27.5,1,0
3657.0884,47.5,0,0
3657.0884,47.5,1,0
3657.0884,27.5,0,0
3657.0884,65,0,0
3657.0884,0.5,0,0
3657.0884,47.5,1,0
3657.0884,47.5,0,0
3657.0884,6.5,0,0
3657.0884,11.5,1,0
3685.438,27.5,0,0
3685.438,65,1,0
3685.438,12.5,1,15
3685.438,7.5,1,0
3685.438,42.5,0,0
3685.438,13.5,1,0
3685.438,1.5,0,0
3685.438,65,1,0
3685.438,8.5,0,0
3685.438,37.5,1,0
3685.438,47.5,1,10
3685.438,37.5,1,0
3685.438,19.5,0,0
3685.438,14.5,1,0
3685.438,5.5,0,10
3685.438,32.5,1,0
3685.438,32.5,1,0
3685.438,16.5,0,0
3685.438,22.5,1,0
3685.438,13.5,1,0
3685.438,9.5,1,0
3685.438,47.5,0,0
3685.438,27.5,0,0
3685.438,22.5,0,0
3685.438,42.5,0,0
3685.438,37.5,0,0
3685.438,65,1,0
3713.7876,10.5,0,0
3713.7876,32.5,1,0
3713.7876,42.5,1,0
3713.7876,5.5,1,0
3713.7876,27.5,1,0
3713.7876,65,0,12
3713.7876,65,1,0
3713.7876,11.5,1,0
3713.7876,22.5,1,15
3713.7876,22.5,1,0
