year,dist,rprice,age,rooms,baths,area,land
1981,4.564394,65284.18,18,6,2,1080,52272
1981,4.564394,124424,1,7,3,2656,45302
1981,4.640152,109063,0,8,3,3726,43935
1981,4.640152,92165.9,13,6,3,2528,44431
1981,4.640152,117511.5,0,7,3,2656,43996
1981,4.659091,113671.3,0,7,3,2736,43560
1981,4.659091,122887.9,0,7,3,2738,43560
1981,4.734848,110983.1,0,7,3,3140,48787
1981,4.734848,69124.42,2,7,2,3152,51835
1981,4.734848,78341.02,2,7,2,3152,51835
1981,4.772727,52227.34,0,7,3,2400,45738
1978,4.772727,73500,14,6,2,1936,43996
1981,4.772727,84485.41,17,6,2,2204,45302
1978,4.791667,87500,188,7,2,3256,44867
1981,4.791667,91858.68,0,7,3,2701,48787
1981,4.829545,40629.8,51,6,1,1199,54450
1978,4.848485,105000,0,7,3,2432,43663
1978,4.848485,63000,30,6,1,1357,45302
1981,4.848485,121351.8,2,7,3,2627,43560
1978,4.848485,106500,0,7,3,2878,43560
1981,4.886364,119431.6,0,7,3,2610,44431
1978,4.886364,82000,4,8,3,2016,44900
1978,4.886364,97000,5,7,3,2136,44000
1981,4.886364,90245.77,7,8,3,2016,44900
1978,4.905303,73000,11,7,3,1868,56900
1978,4.924242,64000,8,6,2,1764,86249
1978,4.924242,93000,0,6,3,2514,43996
1978,4.962121,87000,13,7,2,1920,44260
1978,4.962121,66000,8,6,2,1844,92783
1978,4.981061,78400,0,6,2,1862,45302
1978,5,97900,0,7,3,2464,43560
1981,5.018939,88325.66,7,6,2,1848,46300
1978,5.037879,85900,0,7,3,2286,43996
1981,5.037879,134408.6,0,7,3,2738,59790
1978,5.056818,85900,0,7,3,1962,44465
1978,5.056818,85000,8,8,2,2004,44080
1981,5.075758,100230.4,0,6,2,2330,43995
1981,5.113636,83717.36,2,6,2,1232,49384
1978,5.113636,91400,0,8,2,2738,43995
1978,5.113636,88000,23,7,2,2632,64904
1978,5.113636,92900,0,7,3,2036,49737
1978,5.113636,109500,0,7,3,2780,43995
1981,5.113636,84408.6,26,7,2,2632,64904
1978,5.113636,84900,0,7,3,2082,43958
1978,5.113636,89912,23,7,2,2632,64904
1978,5.132576,106500,0,7,3,2240,43995
1978,5.132576,85900,0,6,2,1862,56392
1978,5.151515,94000,0,7,3,2036,51836
1978,5.170455,80900,0,7,3,2370,43560
1978,5.265152,91500,6,7,3,2284,44001
1981,5.284091,122887.9,6,7,3,4056,69465
1981,5.30303,87173.58,2,7,3,2000,43569
1978,5.30303,90500,0,7,3,2108,52272
1981,5.32197,129800.3,0,7,3,3292,43560
1981,5.32197,130491.6,0,7,3,2832,43560
1978,5.32197,85000,5,7,3,2136,117176
1978,5.32197,84900,0,7,3,1924,44431
1981,5.32197,107526.9,7,6,3,1800,44867
1978,5.340909,83000,3,9,3,2574,43996
1978,5.340909,86000,2,7,3,2952,43996
1981,5.340909,133256.5,0,7,3,2900,43560
1981,5.359848,99769.59,7,7,3,2056,65340
1981,5.359848,120506.9,0,7,3,2464,43908
1978,5.359848,86000,2,7,3,2248,49222
1981,5.359848,132309.5,0,7,3,2826,46598
1978,5.378788,90500,2,7,3,2208,54014
1978,5.378788,63000,14,6,2,1235,95832
1981,5.378788,122811.1,0,7,3,2464,47480
1978,5.378788,94376,0,7,3,2800,69260
1981,5.416667,136524.6,0,7,3,2738,45973
1978,5.416667,84900,0,7,3,1560,44864
1981,5.416667,111367.1,0,7,3,2569,43560
1981,5.454545,128993.9,0,6,3,2472,52708
1981,5.473485,63748.08,7,6,1,1182,44247
1978,5.492424,72500,3,7,3,2472,46422
1978,5.492424,77000,4,7,3,1792,45106
1981,5.511364,132795.7,0,7,3,2580,53579
1981,5.549242,92165.9,8,7,3,2364,43996
1981,5.587121,96006.14,0,7,3,2208,45738
1981,5.606061,104377.9,0,7,3,2377,43560
1981,5.643939,58294.93,19,6,2,1344,78408
1978,5.662879,104500,5,7,3,2816,43560
1978,5.681818,90000,0,7,3,1940,43996
1978,5.700758,65000,13,7,2,1360,43910
1981,5.852273,61827.96,11,7,2,1286,44200
1978,5.871212,73000,4,7,2,1390,46100
1978,5.871212,66100,5,7,2,1388,46600
1978,5.871212,60000,6,7,1,1070,48834
1978,5.92803,84900,9,7,2,1716,45500
1978,6.003788,44900,15,5,1,960,51690
1981,6.022727,92933.95,6,7,3,2706,43996
1978,6.060606,120000,4,6,3,2650,43996
1981,6.079545,102150.5,3,7,3,2756,43573
1978,6.117424,70500,1,6,2,1232,45000
1981,6.193182,98310.29,4,7,3,2464,43560
1978,6.212121,65500,1,6,2,1248,45000
1981,6.25,102534.6,6,7,3,2648,46609
1978,6.287879,84300,0,7,3,2104,68689
1978,6.287879,74500,0,7,2,1818,55321
1978,6.306818,75500,0,7,3,1820,46174
1978,6.306818,87900,0,7,3,2067,204296
1978,6.306818,75900,0,7,3,1928,157252
1978,6.306818,76900,1,6,3,1836,46174
1978,6.306818,75000,0,7,2,1728,47916
1978,6.306818,75900,1,7,2,1836,45738
1978,6.306818,123000,158,9,3,2872,104544
1978,6.306818,73900,0,6,3,2092,47045
1978,6.306818,73000,0,7,2,2038,49223
1978,6.534091,80000,2,7,3,2450,44867
1978,6.55303,86000,3,6,2,1855,50965
1981,6.628788,108294.9,2,7,3,2920,43560
1981,6.628788,96006.14,0,7,3,2548,43560
1978,6.666667,46500,11,6,2,1296,94961
1978,6.704545,90000,0,7,3,2052,43560
1981,6.704545,109831,0,7,3,2576,49223
1978,6.742424,63400,9,6,1,1144,44431
1978,6.761364,50000,13,6,2,1668,43560
1978,6.761364,62500,12,6,2,1978,44867
1981,6.761364,65284.18,15,6,2,1978,44867
1981,6.893939,80645.16,5,7,3,1998,67954
1981,6.950758,103686.6,0,7,3,2464,46609
1978,6.950758,82500,1,7,3,1986,50094
1978,6.969697,83900,0,7,3,2036,46174
1981,6.969697,99846.39,2,7,3,2528,45738
1978,7.026515,76900,1,7,3,2400,43560
1978,7.310606,49500,1,6,1,1100,38768
1981,7.367424,69124.42,16,6,1,1549,44431
1978,7.575758,57000,28,5,1,1320,64033
